complaint_id,category,complaint_text,area,date_reported,priority,status,clean_text,tokens
345,Street Light,Street light near Ponmalai Cross Street has not been working for 10 days.,Ponmalai,2025-12-21,Medium,Resolved,street light near ponmalai cross street working days,"['street', 'light', 'near', 'ponmalai', 'cross', 'street', 'working', 'days']"
346,Drainage,Sewage water has entered houses in Kattur 2nd Street after the rain.,Kattur,2025-03-19,Low,Resolved,sewage water entered houses kattur nd street rain,"['sewage', 'water', 'entered', 'houses', 'kattur', 'nd', 'street', 'rain']"
347,Street Light,"Street light pole in Vayalur Road is damaged and sparking, safety concern.",Vayalur Road,2026-02-25,High,Resolved,street light pole vayalur road damaged sparking safety concern,"['street', 'light', 'pole', 'vayalur', 'road', 'damaged', 'sparking', 'safety', 'concern']"
348,Road Damage,Large pothole on Kattur 2nd Street is causing accidents for two-wheelers.,Kattur,2026-03-27,Medium,Resolved,large pothole kattur nd street causing accidents twowheelers,"['large', 'pothole', 'kattur', 'nd', 'street', 'causing', 'accidents', 'twowheelers']"
349,Electricity,Power has not been restored in Gandhi Nagar since yesterday's outage.,Gandhi Nagar,2025-03-31,Medium,Resolved,power restored gandhi nagar since yesterdays outage,"['power', 'restored', 'gandhi', 'nagar', 'since', 'yesterdays', 'outage']"
351,Street Light,Street light timer in Chinthamani is faulty; lights stay on during the day.,Chinthamani,2025-05-01,High,In Progress,street light timer chinthamani faulty lights stay day,"['street', 'light', 'timer', 'chinthamani', 'faulty', 'lights', 'stay', 'day']"
353,Drainage,Foul smell from the drainage line near Woraiyur market is unbearable.,Woraiyur,2026-05-18,Low,Pending,foul smell drainage line near woraiyur market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'woraiyur', 'market', 'unbearable']"
354,Garbage,The garbage truck has skipped our street (Golden Rock Bypass Road) for three days in a row.,Golden Rock,2025-11-24,High,Pending,garbage truck skipped street golden rock bypass road three days row,"['garbage', 'truck', 'skipped', 'street', 'golden', 'rock', 'bypass', 'road', 'three', 'days', 'row']"
355,Street Light,Newly installed street light in Anna Nagar Cross Street is not switching on.,Anna Nagar,2026-04-22,Medium,Pending,newly installed street light anna nagar cross street switching,"['newly', 'installed', 'street', 'light', 'anna', 'nagar', 'cross', 'street', 'switching']"
356,Street Light,Street light near Bharathi Nagar park has been off since last month.,Bharathi Nagar,2025-02-16,Low,Pending,street light near bharathi nagar park since last month,"['street', 'light', 'near', 'bharathi', 'nagar', 'park', 'since', 'last', 'month']"
357,Drainage,Choked stormwater drain in Crawford Colony Road floods during light rain.,Crawford,2025-01-17,Medium,Pending,choked stormwater drain crawford colony road floods light rain,"['choked', 'stormwater', 'drain', 'crawford', 'colony', 'road', 'floods', 'light', 'rain']"
358,Drainage,Blocked drainage near Chinthamani is causing mosquito breeding and bad odour.,Chinthamani,2025-12-24,Medium,Resolved,blocked drainage near chinthamani causing mosquito breeding bad odour,"['blocked', 'drainage', 'near', 'chinthamani', 'causing', 'mosquito', 'breeding', 'bad', 'odour']"
359,Electricity,Transformer near Woraiyur 3rd Street is making loud noise and sparking.,Woraiyur,2025-05-10,Low,In Progress,transformer near woraiyur rd street making loud noise sparking,"['transformer', 'near', 'woraiyur', 'rd', 'street', 'making', 'loud', 'noise', 'sparking']"
360,Road Damage,"Speed breaker on Puthur 3rd Street is broken and unmarked, risky at night.",Puthur,2026-02-19,High,Pending,speed breaker puthur rd street broken unmarked risky night,"['speed', 'breaker', 'puthur', 'rd', 'street', 'broken', 'unmarked', 'risky', 'night']"
362,Garbage,Public dustbin at Edamalaipatti Pudur junction is broken and waste is scattered on the road.,Edamalaipatti Pudur,2025-03-28,Medium,Resolved,public dustbin edamalaipatti pudur junction broken waste scattered road,"['public', 'dustbin', 'edamalaipatti', 'pudur', 'junction', 'broken', 'waste', 'scattered', 'road']"
363,Garbage,No garbage collection has happened in Crawford since last Monday.,Crawford,2026-06-14,Medium,Pending,garbage collection happened crawford since last monday,"['garbage', 'collection', 'happened', 'crawford', 'since', 'last', 'monday']"
364,Street Light,Entire stretch of Woraiyur Main Road is dark at night due to non-functional lights.,Woraiyur,2026-03-28,Medium,In Progress,entire stretch woraiyur main road dark night due nonfunctional lights,"['entire', 'stretch', 'woraiyur', 'main', 'road', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
365,Garbage,No garbage collection has happened in Anna Nagar since last Monday.,Anna Nagar,2025-08-16,Low,In Progress,garbage collection happened anna nagar since last monday,"['garbage', 'collection', 'happened', 'anna', 'nagar', 'since', 'last', 'monday']"
366,Garbage,Household waste is being dumped on the roadside in Golden Rock instead of the bin.,Golden Rock,2025-08-04,High,In Progress,household waste dumped roadside golden rock instead bin,"['household', 'waste', 'dumped', 'roadside', 'golden', 'rock', 'instead', 'bin']"
367,Garbage,Construction debris dumped illegally on Woraiyur Market Street is blocking the footpath.,Woraiyur,2026-05-22,Medium,Pending,construction debris dumped illegally woraiyur market street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'woraiyur', 'market', 'street', 'blocking', 'footpath']"
368,Electricity,Street junction box in K.K. Nagar is open with live wires exposed.,K.K. Nagar,2025-06-27,Low,Pending,street junction box kk nagar open live wires exposed,"['street', 'junction', 'box', 'kk', 'nagar', 'open', 'live', 'wires', 'exposed']"
369,Road Damage,Waterlogged potholes on Ponmalai Cross Street are damaging vehicle tyres.,Ponmalai,2026-02-23,High,In Progress,waterlogged potholes ponmalai cross street damaging vehicle tyres,"['waterlogged', 'potholes', 'ponmalai', 'cross', 'street', 'damaging', 'vehicle', 'tyres']"
370,Drainage,Stagnant drainage water in Thillai Nagar has been standing for over a week.,Thillai Nagar,2025-04-19,Low,In Progress,stagnant drainage water thillai nagar standing week,"['stagnant', 'drainage', 'water', 'thillai', 'nagar', 'standing', 'week']"
371,Electricity,Exposed electrical wires near Srirangam Cross Street are a serious safety hazard.,Srirangam,2025-08-22,High,Resolved,exposed electrical wires near srirangam cross street serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'srirangam', 'cross', 'street', 'serious', 'safety', 'hazard']"
372,Water Supply,Water tanker has not arrived in Palpannai despite booking three days ago.,Palpannai,2026-02-02,Medium,In Progress,water tanker arrived palpannai despite booking three days ago,"['water', 'tanker', 'arrived', 'palpannai', 'despite', 'booking', 'three', 'days', 'ago']"
373,Water Supply,New water connection request in Edamalaipatti Pudur is pending for over a month.,Edamalaipatti Pudur,2025-02-03,Low,In Progress,new water connection request edamalaipatti pudur pending month,"['new', 'water', 'connection', 'request', 'edamalaipatti', 'pudur', 'pending', 'month']"
374,Street Light,"Street light pole in Chinthamani is damaged and sparking, safety concern.",Chinthamani,2026-02-28,Medium,In Progress,street light pole chinthamani damaged sparking safety concern,"['street', 'light', 'pole', 'chinthamani', 'damaged', 'sparking', 'safety', 'concern']"
375,Road Damage,Uneven road surface on Edamalaipatti Pudur Bypass Road makes it difficult for vehicles to pass.,Edamalaipatti Pudur,2026-06-20,High,Resolved,uneven road surface edamalaipatti pudur bypass road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'edamalaipatti', 'pudur', 'bypass', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
376,Electricity,Transformer near Srirangam Main Road is making loud noise and sparking.,Srirangam,2025-03-05,Low,Pending,transformer near srirangam main road making loud noise sparking,"['transformer', 'near', 'srirangam', 'main', 'road', 'making', 'loud', 'noise', 'sparking']"
377,Road Damage,"Speed breaker on K.K. Nagar Market Street is broken and unmarked, risky at night.",K.K. Nagar,2025-11-21,Medium,Pending,speed breaker kk nagar market street broken unmarked risky night,"['speed', 'breaker', 'kk', 'nagar', 'market', 'street', 'broken', 'unmarked', 'risky', 'night']"
379,Water Supply,"Irregular water supply timing in Crawford, water comes only for 10 minutes.",Crawford,2025-05-30,Low,Resolved,irregular water supply timing crawford water comes minutes,"['irregular', 'water', 'supply', 'timing', 'crawford', 'water', 'comes', 'minutes']"
380,Water Supply,Pipeline leakage near Thiruverumbur Cross Street is wasting a large amount of water daily.,Thiruverumbur,2026-04-25,Low,Pending,pipeline leakage near thiruverumbur cross street wasting large amount water daily,"['pipeline', 'leakage', 'near', 'thiruverumbur', 'cross', 'street', 'wasting', 'large', 'amount', 'water', 'daily']"
381,Garbage,Household waste is being dumped on the roadside in Thillai Nagar instead of the bin.,Thillai Nagar,2025-08-29,Medium,Pending,household waste dumped roadside thillai nagar instead bin,"['household', 'waste', 'dumped', 'roadside', 'thillai', 'nagar', 'instead', 'bin']"
382,Street Light,Multiple street lights along Kattur Cross Street are non-functional after the storm.,Kattur,2025-12-10,Medium,In Progress,multiple street lights along kattur cross street nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'kattur', 'cross', 'street', 'nonfunctional', 'storm']"
383,Road Damage,Uneven road surface on Anna Nagar Market Street makes it difficult for vehicles to pass.,Anna Nagar,2025-11-09,High,Resolved,uneven road surface anna nagar market street makes difficult vehicles pass,"['uneven', 'road', 'surface', 'anna', 'nagar', 'market', 'street', 'makes', 'difficult', 'vehicles', 'pass']"
384,Road Damage,Deep crack across the road in Puthur is widening every day.,Puthur,2026-03-17,High,Resolved,deep crack across road puthur widening every day,"['deep', 'crack', 'across', 'road', 'puthur', 'widening', 'every', 'day']"
385,Drainage,Drainage cleaning has not been done in Chinthamani 3rd Street for months.,Chinthamani,2025-06-08,High,In Progress,drainage cleaning done chinthamani rd street months,"['drainage', 'cleaning', 'done', 'chinthamani', 'rd', 'street', 'months']"
386,Road Damage,Uneven road surface on Thillai Nagar Lake Road makes it difficult for vehicles to pass.,Thillai Nagar,2026-03-21,High,In Progress,uneven road surface thillai nagar lake road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'thillai', 'nagar', 'lake', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
387,Electricity,Transformer near Anna Nagar Cross Street is making loud noise and sparking.,Anna Nagar,2025-12-06,Low,Pending,transformer near anna nagar cross street making loud noise sparking,"['transformer', 'near', 'anna', 'nagar', 'cross', 'street', 'making', 'loud', 'noise', 'sparking']"
388,Garbage,Public dustbin at Puthur junction is broken and waste is scattered on the road.,Puthur,2025-09-13,Low,In Progress,public dustbin puthur junction broken waste scattered road,"['public', 'dustbin', 'puthur', 'junction', 'broken', 'waste', 'scattered', 'road']"
390,Electricity,Low voltage supply in Crawford is damaging household appliances.,Crawford,2026-06-10,Low,Resolved,low voltage supply crawford damaging household appliances,"['low', 'voltage', 'supply', 'crawford', 'damaging', 'household', 'appliances']"
391,Electricity,Street junction box in Edamalaipatti Pudur is open with live wires exposed.,Edamalaipatti Pudur,2025-05-26,High,In Progress,street junction box edamalaipatti pudur open live wires exposed,"['street', 'junction', 'box', 'edamalaipatti', 'pudur', 'open', 'live', 'wires', 'exposed']"
392,Road Damage,"Speed breaker on Bharathi Nagar Cross Street is broken and unmarked, risky at night.",Bharathi Nagar,2026-04-05,High,In Progress,speed breaker bharathi nagar cross street broken unmarked risky night,"['speed', 'breaker', 'bharathi', 'nagar', 'cross', 'street', 'broken', 'unmarked', 'risky', 'night']"
393,Garbage,"Dead animal lying near the garbage dump in Gandhi Nagar Colony Road, needs urgent removal.",Gandhi Nagar,2026-05-28,Low,Resolved,dead animal lying near garbage dump gandhi nagar colony road needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'gandhi', 'nagar', 'colony', 'road', 'needs', 'urgent', 'removal']"
394,Street Light,Broken street light glass in Palpannai 3rd Street is scattered on the footpath.,Palpannai,2025-09-11,High,Resolved,broken street light glass palpannai rd street scattered footpath,"['broken', 'street', 'light', 'glass', 'palpannai', 'rd', 'street', 'scattered', 'footpath']"
395,Garbage,Construction debris dumped illegally on Ariyamangalam Main Road is blocking the footpath.,Ariyamangalam,2025-03-25,Medium,Resolved,construction debris dumped illegally ariyamangalam main road blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'ariyamangalam', 'main', 'road', 'blocking', 'footpath']"
397,Street Light,Broken street light glass in Golden Rock 2nd Street is scattered on the footpath.,Golden Rock,2025-01-15,High,In Progress,broken street light glass golden rock nd street scattered footpath,"['broken', 'street', 'light', 'glass', 'golden', 'rock', 'nd', 'street', 'scattered', 'footpath']"
398,Water Supply,"Irregular water supply timing in Puthur, water comes only for 10 minutes.",Puthur,2026-03-02,High,Pending,irregular water supply timing puthur water comes minutes,"['irregular', 'water', 'supply', 'timing', 'puthur', 'water', 'comes', 'minutes']"
400,Street Light,"No streetlight coverage on Palpannai Bypass Road, unsafe for women at night.",Palpannai,2025-05-28,Low,Resolved,streetlight coverage palpannai bypass road unsafe women night,"['streetlight', 'coverage', 'palpannai', 'bypass', 'road', 'unsafe', 'women', 'night']"
401,Electricity,Power has not been restored in Puthur since yesterday's outage.,Puthur,2025-08-12,Medium,In Progress,power restored puthur since yesterdays outage,"['power', 'restored', 'puthur', 'since', 'yesterdays', 'outage']"
402,Water Supply,Contaminated/muddy water is coming from the tap in Edamalaipatti Pudur Lake Road.,Edamalaipatti Pudur,2025-10-12,Low,Resolved,contaminatedmuddy water coming tap edamalaipatti pudur lake road,"['contaminatedmuddy', 'water', 'coming', 'tap', 'edamalaipatti', 'pudur', 'lake', 'road']"
403,Street Light,Street light timer in Cantonment is faulty; lights stay on during the day.,Cantonment,2025-04-09,High,Pending,street light timer cantonment faulty lights stay day,"['street', 'light', 'timer', 'cantonment', 'faulty', 'lights', 'stay', 'day']"
404,Garbage,Public dustbin at Vayalur Road junction is broken and waste is scattered on the road.,Vayalur Road,2025-06-12,High,In Progress,public dustbin vayalur road junction broken waste scattered road,"['public', 'dustbin', 'vayalur', 'road', 'junction', 'broken', 'waste', 'scattered', 'road']"
405,Road Damage,"Speed breaker on Woraiyur Market Street is broken and unmarked, risky at night.",Woraiyur,2025-08-05,Medium,In Progress,speed breaker woraiyur market street broken unmarked risky night,"['speed', 'breaker', 'woraiyur', 'market', 'street', 'broken', 'unmarked', 'risky', 'night']"
406,Garbage,Public dustbin at Chinthamani junction is broken and waste is scattered on the road.,Chinthamani,2025-11-28,Medium,Pending,public dustbin chinthamani junction broken waste scattered road,"['public', 'dustbin', 'chinthamani', 'junction', 'broken', 'waste', 'scattered', 'road']"
407,Drainage,Drainage cleaning has not been done in Anna Nagar Main Road for months.,Anna Nagar,2025-07-29,Medium,Pending,drainage cleaning done anna nagar main road months,"['drainage', 'cleaning', 'done', 'anna', 'nagar', 'main', 'road', 'months']"
408,Water Supply,"Water supply valve in Ponmalai is broken, entire street has no water.",Ponmalai,2025-11-09,High,Resolved,water supply valve ponmalai broken entire street water,"['water', 'supply', 'valve', 'ponmalai', 'broken', 'entire', 'street', 'water']"
409,Street Light,Entire stretch of Crawford Market Street is dark at night due to non-functional lights.,Crawford,2026-04-16,High,Pending,entire stretch crawford market street dark night due nonfunctional lights,"['entire', 'stretch', 'crawford', 'market', 'street', 'dark', 'night', 'due', 'nonfunctional', 'lights']"
410,Road Damage,Broken footpath tiles on Crawford Lake Road are a tripping hazard for pedestrians.,Crawford,2026-05-15,Medium,Resolved,broken footpath tiles crawford lake road tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'crawford', 'lake', 'road', 'tripping', 'hazard', 'pedestrians']"
411,Water Supply,Pipeline leakage near Thiruverumbur Colony Road is wasting a large amount of water daily.,Thiruverumbur,2025-10-10,High,Pending,pipeline leakage near thiruverumbur colony road wasting large amount water daily,"['pipeline', 'leakage', 'near', 'thiruverumbur', 'colony', 'road', 'wasting', 'large', 'amount', 'water', 'daily']"
412,Electricity,Exposed electrical wires near Cantonment Bypass Road are a serious safety hazard.,Cantonment,2025-05-10,High,In Progress,exposed electrical wires near cantonment bypass road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'cantonment', 'bypass', 'road', 'serious', 'safety', 'hazard']"
413,Electricity,Low voltage supply in Thillai Nagar is damaging household appliances.,Thillai Nagar,2025-09-20,Low,Resolved,low voltage supply thillai nagar damaging household appliances,"['low', 'voltage', 'supply', 'thillai', 'nagar', 'damaging', 'household', 'appliances']"
414,Road Damage,"Speed breaker on Crawford Cross Street is broken and unmarked, risky at night.",Crawford,2025-07-24,High,Resolved,speed breaker crawford cross street broken unmarked risky night,"['speed', 'breaker', 'crawford', 'cross', 'street', 'broken', 'unmarked', 'risky', 'night']"
415,Street Light,Street light near K.K. Nagar park has been off since last month.,K.K. Nagar,2025-09-06,Medium,Pending,street light near kk nagar park since last month,"['street', 'light', 'near', 'kk', 'nagar', 'park', 'since', 'last', 'month']"
416,Street Light,Broken street light glass in Srirangam 2nd Street is scattered on the footpath.,Srirangam,2025-01-06,High,Pending,broken street light glass srirangam nd street scattered footpath,"['broken', 'street', 'light', 'glass', 'srirangam', 'nd', 'street', 'scattered', 'footpath']"
418,Road Damage,Broken footpath tiles on Vayalur Road Market Street are a tripping hazard for pedestrians.,Vayalur Road,2025-03-28,High,Resolved,broken footpath tiles vayalur road market street tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'vayalur', 'road', 'market', 'street', 'tripping', 'hazard', 'pedestrians']"
419,Street Light,Street light timer in Crawford is faulty; lights stay on during the day.,Crawford,2026-04-05,Medium,In Progress,street light timer crawford faulty lights stay day,"['street', 'light', 'timer', 'crawford', 'faulty', 'lights', 'stay', 'day']"
420,Road Damage,"Speed breaker on K.K. Nagar 2nd Street is broken and unmarked, risky at night.",K.K. Nagar,2025-03-12,High,Resolved,speed breaker kk nagar nd street broken unmarked risky night,"['speed', 'breaker', 'kk', 'nagar', 'nd', 'street', 'broken', 'unmarked', 'risky', 'night']"
421,Garbage,Public dustbin at Ponmalai junction is broken and waste is scattered on the road.,Ponmalai,2025-12-01,Medium,Resolved,public dustbin ponmalai junction broken waste scattered road,"['public', 'dustbin', 'ponmalai', 'junction', 'broken', 'waste', 'scattered', 'road']"
422,Drainage,"Drainage cover is missing on Golden Rock Main Road, risk of accidents.",Golden Rock,2025-12-27,High,Pending,drainage cover missing golden rock main road risk accidents,"['drainage', 'cover', 'missing', 'golden', 'rock', 'main', 'road', 'risk', 'accidents']"
423,Street Light,Street light near Crawford bus stop flickers constantly at night.,Crawford,2026-01-10,Low,In Progress,street light near crawford bus stop flickers constantly night,"['street', 'light', 'near', 'crawford', 'bus', 'stop', 'flickers', 'constantly', 'night']"
424,Drainage,Stagnant drainage water in Palpannai has been standing for over a week.,Palpannai,2025-06-29,High,In Progress,stagnant drainage water palpannai standing week,"['stagnant', 'drainage', 'water', 'palpannai', 'standing', 'week']"
426,Garbage,The garbage truck has skipped our street (Anna Nagar Main Road) for three days in a row.,Anna Nagar,2025-11-18,Low,Pending,garbage truck skipped street anna nagar main road three days row,"['garbage', 'truck', 'skipped', 'street', 'anna', 'nagar', 'main', 'road', 'three', 'days', 'row']"
427,Electricity,Frequent power cuts in Melapudur Market Street for the past week without prior notice.,Melapudur,2025-02-03,Low,Resolved,frequent power cuts melapudur market street past week without prior notice,"['frequent', 'power', 'cuts', 'melapudur', 'market', 'street', 'past', 'week', 'without', 'prior', 'notice']"
428,Garbage,Overflowing garbage bin near Crawford Bypass Road is attracting stray dogs and flies.,Crawford,2025-09-28,Low,Resolved,overflowing garbage bin near crawford bypass road attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'crawford', 'bypass', 'road', 'attracting', 'stray', 'dogs', 'flies']"
429,Garbage,Overflowing garbage bin near Palpannai Cross Street is attracting stray dogs and flies.,Palpannai,2026-03-09,Low,Pending,overflowing garbage bin near palpannai cross street attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'palpannai', 'cross', 'street', 'attracting', 'stray', 'dogs', 'flies']"
431,Water Supply,No water supply in K.K. Nagar Market Street for the past 2 days.,K.K. Nagar,2025-06-08,Low,In Progress,water supply kk nagar market street past days,"['water', 'supply', 'kk', 'nagar', 'market', 'street', 'past', 'days']"
434,Garbage,Household waste is being dumped on the roadside in Ariyamangalam instead of the bin.,Ariyamangalam,2026-04-30,High,Pending,household waste dumped roadside ariyamangalam instead bin,"['household', 'waste', 'dumped', 'roadside', 'ariyamangalam', 'instead', 'bin']"
435,Road Damage,Broken footpath tiles on Puthur Lake Road are a tripping hazard for pedestrians.,Puthur,2025-08-22,Medium,Resolved,broken footpath tiles puthur lake road tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'puthur', 'lake', 'road', 'tripping', 'hazard', 'pedestrians']"
436,Electricity,Frequent power cuts in Anna Nagar Market Street for the past week without prior notice.,Anna Nagar,2026-03-25,High,In Progress,frequent power cuts anna nagar market street past week without prior notice,"['frequent', 'power', 'cuts', 'anna', 'nagar', 'market', 'street', 'past', 'week', 'without', 'prior', 'notice']"
437,Garbage,Construction debris dumped illegally on Thillai Nagar Market Street is blocking the footpath.,Thillai Nagar,2026-01-26,High,In Progress,construction debris dumped illegally thillai nagar market street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'thillai', 'nagar', 'market', 'street', 'blocking', 'footpath']"
438,Electricity,"Electricity meter in Puthur Bypass Road is malfunctioning, incorrect readings.",Puthur,2026-02-21,Low,Resolved,electricity meter puthur bypass road malfunctioning incorrect readings,"['electricity', 'meter', 'puthur', 'bypass', 'road', 'malfunctioning', 'incorrect', 'readings']"
440,Water Supply,No water supply since the pipeline repair work started in Chinthamani Cross Street.,Chinthamani,2025-03-07,Medium,In Progress,water supply since pipeline repair work started chinthamani cross street,"['water', 'supply', 'since', 'pipeline', 'repair', 'work', 'started', 'chinthamani', 'cross', 'street']"
441,Street Light,Street light near Thiruverumbur park has been off since last month.,Thiruverumbur,2025-09-28,High,In Progress,street light near thiruverumbur park since last month,"['street', 'light', 'near', 'thiruverumbur', 'park', 'since', 'last', 'month']"
442,Water Supply,No water supply in Bharathi Nagar Colony Road for the past 2 days.,Bharathi Nagar,2025-01-09,High,Resolved,water supply bharathi nagar colony road past days,"['water', 'supply', 'bharathi', 'nagar', 'colony', 'road', 'past', 'days']"
444,Electricity,Low voltage supply in Vayalur Road is damaging household appliances.,Vayalur Road,2026-06-13,Medium,Pending,low voltage supply vayalur road damaging household appliances,"['low', 'voltage', 'supply', 'vayalur', 'road', 'damaging', 'household', 'appliances']"
445,Road Damage,Broken footpath tiles on Ponmalai Colony Road are a tripping hazard for pedestrians.,Ponmalai,2026-05-20,Low,Pending,broken footpath tiles ponmalai colony road tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'ponmalai', 'colony', 'road', 'tripping', 'hazard', 'pedestrians']"
446,Road Damage,"Speed breaker on Edamalaipatti Pudur 2nd Street is broken and unmarked, risky at night.",Edamalaipatti Pudur,2025-10-03,High,In Progress,speed breaker edamalaipatti pudur nd street broken unmarked risky night,"['speed', 'breaker', 'edamalaipatti', 'pudur', 'nd', 'street', 'broken', 'unmarked', 'risky', 'night']"
447,Street Light,Street light near Vayalur Road bus stop flickers constantly at night.,Vayalur Road,2025-05-19,High,Resolved,street light near vayalur road bus stop flickers constantly night,"['street', 'light', 'near', 'vayalur', 'road', 'bus', 'stop', 'flickers', 'constantly', 'night']"
448,Garbage,Plastic waste is piling up near the Woraiyur Lake Road community bin.,Woraiyur,2025-12-01,Medium,In Progress,plastic waste piling near woraiyur lake road community bin,"['plastic', 'waste', 'piling', 'near', 'woraiyur', 'lake', 'road', 'community', 'bin']"
449,Drainage,Sewage water has entered houses in Edamalaipatti Pudur Market Street after the rain.,Edamalaipatti Pudur,2025-05-01,Medium,In Progress,sewage water entered houses edamalaipatti pudur market street rain,"['sewage', 'water', 'entered', 'houses', 'edamalaipatti', 'pudur', 'market', 'street', 'rain']"
451,Road Damage,Large pothole on Golden Rock 3rd Street is causing accidents for two-wheelers.,Golden Rock,2025-02-10,Low,In Progress,large pothole golden rock rd street causing accidents twowheelers,"['large', 'pothole', 'golden', 'rock', 'rd', 'street', 'causing', 'accidents', 'twowheelers']"
452,Electricity,"Electricity meter in Chinthamani Bypass Road is malfunctioning, incorrect readings.",Chinthamani,2025-08-27,Low,Pending,electricity meter chinthamani bypass road malfunctioning incorrect readings,"['electricity', 'meter', 'chinthamani', 'bypass', 'road', 'malfunctioning', 'incorrect', 'readings']"
454,Electricity,"Electricity meter in Melapudur Lake Road is malfunctioning, incorrect readings.",Melapudur,2025-02-08,Low,In Progress,electricity meter melapudur lake road malfunctioning incorrect readings,"['electricity', 'meter', 'melapudur', 'lake', 'road', 'malfunctioning', 'incorrect', 'readings']"
455,Water Supply,Pipeline leakage near Bharathi Nagar Colony Road is wasting a large amount of water daily.,Bharathi Nagar,2026-05-28,High,In Progress,pipeline leakage near bharathi nagar colony road wasting large amount water daily,"['pipeline', 'leakage', 'near', 'bharathi', 'nagar', 'colony', 'road', 'wasting', 'large', 'amount', 'water', 'daily']"
458,Street Light,Multiple street lights along Ariyamangalam 3rd Street are non-functional after the storm.,Ariyamangalam,2025-02-21,High,Resolved,multiple street lights along ariyamangalam rd street nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'ariyamangalam', 'rd', 'street', 'nonfunctional', 'storm']"
461,Street Light,"No streetlight coverage on Vayalur Road Main Road, unsafe for women at night.",Vayalur Road,2025-08-15,High,Pending,streetlight coverage vayalur road main road unsafe women night,"['streetlight', 'coverage', 'vayalur', 'road', 'main', 'road', 'unsafe', 'women', 'night']"
462,Electricity,Frequent power cuts in Ariyamangalam Bypass Road for the past week without prior notice.,Ariyamangalam,2025-01-10,Medium,Pending,frequent power cuts ariyamangalam bypass road past week without prior notice,"['frequent', 'power', 'cuts', 'ariyamangalam', 'bypass', 'road', 'past', 'week', 'without', 'prior', 'notice']"
463,Garbage,Plastic waste is piling up near the Chinthamani Market Street community bin.,Chinthamani,2025-12-06,Low,Pending,plastic waste piling near chinthamani market street community bin,"['plastic', 'waste', 'piling', 'near', 'chinthamani', 'market', 'street', 'community', 'bin']"
464,Street Light,Broken street light glass in Anna Nagar 2nd Street is scattered on the footpath.,Anna Nagar,2026-06-16,Low,Resolved,broken street light glass anna nagar nd street scattered footpath,"['broken', 'street', 'light', 'glass', 'anna', 'nagar', 'nd', 'street', 'scattered', 'footpath']"
465,Drainage,Stagnant drainage water in Golden Rock has been standing for over a week.,Golden Rock,2025-04-27,Low,Resolved,stagnant drainage water golden rock standing week,"['stagnant', 'drainage', 'water', 'golden', 'rock', 'standing', 'week']"
466,Drainage,Drainage cleaning has not been done in Thillai Nagar Cross Street for months.,Thillai Nagar,2025-11-13,Medium,Resolved,drainage cleaning done thillai nagar cross street months,"['drainage', 'cleaning', 'done', 'thillai', 'nagar', 'cross', 'street', 'months']"
467,Water Supply,"Water pressure is extremely low in Cantonment, unable to fill overhead tank.",Cantonment,2026-02-23,Medium,Resolved,water pressure extremely low cantonment unable fill overhead tank,"['water', 'pressure', 'extremely', 'low', 'cantonment', 'unable', 'fill', 'overhead', 'tank']"
468,Electricity,Exposed electrical wires near Cantonment Lake Road are a serious safety hazard.,Cantonment,2025-02-08,Low,Pending,exposed electrical wires near cantonment lake road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'cantonment', 'lake', 'road', 'serious', 'safety', 'hazard']"
470,Garbage,Uncollected garbage near the market in Puthur is causing a hygiene issue.,Puthur,2025-03-16,Low,In Progress,uncollected garbage near market puthur causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'puthur', 'causing', 'hygiene', 'issue']"
472,Water Supply,New water connection request in Palpannai is pending for over a month.,Palpannai,2026-01-26,High,Resolved,new water connection request palpannai pending month,"['new', 'water', 'connection', 'request', 'palpannai', 'pending', 'month']"
473,Electricity,Exposed electrical wires near Thillai Nagar Main Road are a serious safety hazard.,Thillai Nagar,2025-03-08,Low,Resolved,exposed electrical wires near thillai nagar main road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'thillai', 'nagar', 'main', 'road', 'serious', 'safety', 'hazard']"
